timestamp,src,sport,dst,dport,proto,pred
2025-11-13 22:52:34,52.72.193.44,443,192.168.1.35,59411,TCP,0
2025-11-13 22:52:34,18.97.36.8,443,192.168.1.35,51099,TCP,0
2025-11-13 22:52:34,192.168.1.35,60326,142.250.193.170,443,UDP,0
2025-11-13 22:52:34,142.250.193.170,443,192.168.1.35,60326,UDP,0
2025-11-13 22:52:34,192.168.1.35,51099,18.97.36.8,443,TCP,0
2025-11-13 22:52:34,192.168.1.35,49807,142.250.182.78,443,UDP,0
2025-11-13 22:52:35,142.250.182.78,443,192.168.1.35,49807,UDP,0
2025-11-13 22:52:35,192.168.1.35,58665,74.125.200.84,443,UDP,0
2025-11-13 22:52:35,74.125.200.84,443,192.168.1.35,58665,UDP,0
2025-11-13 22:52:35,192.168.1.35,63548,142.251.223.238,443,UDP,0
2025-11-13 22:52:35,142.251.223.238,443,192.168.1.35,63548,UDP,0
2025-11-13 22:52:37,192.168.1.35,63447,142.251.222.164,443,UDP,0
2025-11-13 22:52:37,142.251.222.164,443,192.168.1.35,63447,UDP,0
2025-11-13 22:52:38,192.168.1.35,60116,172.64.151.87,443,UDP,0
2025-11-13 22:52:39,172.64.151.87,443,192.168.1.35,60116,UDP,0
2025-11-13 22:52:40,192.168.1.35,50692,44.207.170.235,443,TCP,0
2025-11-13 22:52:40,142.251.222.193,443,192.168.1.35,53787,TCP,0
2025-11-13 22:52:40,192.168.1.35,53787,142.251.222.193,443,TCP,0
2025-11-13 22:52:41,44.207.170.235,443,192.168.1.35,50692,TCP,0
2025-11-13 22:52:41,192.168.1.35,58447,142.251.222.193,443,UDP,0
2025-11-13 22:52:41,142.251.222.193,443,192.168.1.35,58447,UDP,0
2025-11-13 22:52:41,192.168.1.35,54249,18.97.36.17,443,TCP,0
2025-11-13 22:52:41,18.97.36.17,443,192.168.1.35,54249,TCP,0
2025-11-13 22:52:41,192.168.1.35,58833,18.97.36.72,443,TCP,0
2025-11-13 22:52:42,192.168.1.35,55568,44.193.97.126,443,TCP,0
2025-11-13 22:52:42,44.193.97.126,443,192.168.1.35,55568,TCP,0
2025-11-13 22:52:42,192.168.1.35,60827,44.193.97.126,443,TCP,0
2025-11-13 22:52:42,44.193.97.126,443,192.168.1.35,60827,TCP,0
